Frame 0: 1.4142+0.0000j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j
Frame 1: 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j
Frame 2: 1.4142+0.0000j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j
Frame 3: 1.4142+0.0000j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j
Frame 4: 1.4142+0.0000j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 1.4142+0.0000j
Frame 5: 1.4142+0.0000j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j
Frame 6: 1.4142+0.0000j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j
Frame 7: 1.4142+0.0000j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 1.4142+0.0000j
Frame 8: 1.4142+0.0000j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j
Frame 9: 1.4142+0.0000j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 1.4142+0.0000j
Frame 10: 1.4142+0.0000j, -0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 1.4142+0.0000j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 1.4142+0.0000j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071+0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, -0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, -0.7071+0.7071j, 0.7071-0.7071j, 1.4142+0.0000j, -0.7071+0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, -0.7071-0.7071j, 0.7071+0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, 0.7071-0.7071j, 0.7071+0.7071j, 0.7071-0.7071j, -0.7071-0.7071j, 1.4142+0.0000j
